sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present_absent,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow
TC8504_032_7,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1N1,32,"nearshore, leeward",21.368330000,-158.15800000000,NA,NA,dd,9/11/1985,9,11,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,10,20,80,28,R/V Thomson Cromwell_9/11/1985_32_night,28,577.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.75,41.47,26.71,26.83,,,,762
TC8504_032_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1N1,32,"nearshore, leeward",21.368330000,-158.15800000000,NA,NA,dd,9/11/1985,9,11,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,10,80,91,R/V Thomson Cromwell_9/11/1985_32_night,91,624.5,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.83,41.4668,26.78,26.93,,,,497
TC8504_037_0,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L15N1,37,"pelagic, leeward",21.345000000,-158.42700000000,NA,NA,dd,9/12/1985,9,12,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,1,200,1,R/V Thomson Cromwell_9/12/1985_37_night,1,509.7,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.8,40.4384,27.79,26.81,,,,98
TC8504_037_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L15N1,37,"pelagic, leeward",21.345000000,-158.42700000000,NA,NA,dd,9/12/1985,9,12,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,20,40,200,6,R/V Thomson Cromwell_9/12/1985_37_night,6,612.5,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,,,,,,,,661
TC8504_044_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1N2,44,"nearshore, leeward",21.371670000,-158.16200000000,NA,NA,dd,9/14/1985,9,14,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,10,80,2,R/V Thomson Cromwell_9/14/1985_44_night,2,612.8,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.78429,41.56712,26.66,26.99,,,,231
TC8604_002_0,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L5N1,2,"pelagic, leeward",21.336670000,-158.22700000000,NA,NA,dd,6/24/1986,6,24,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,1,200,6,R/V Thomson Cromwell_6/24/1986_2_night,6,764,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,PICDR-113141,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,NA,NA,,,,,,102
TC8604_002_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L5N1,2,"pelagic, leeward",21.336670000,-158.22700000000,NA,NA,dd,6/24/1986,6,24,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,20,200,4,R/V Thomson Cromwell_6/24/1986_2_night,4,536.9,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,PICDR-113142,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.42785,34.97422,25.42785,25.42785,,,,999
TC8604_004_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L5D1,4,"pelagic, leeward",21.326670000,-158.22800000000,NA,NA,dd,6/25/1986,6,25,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,2,R/V Thomson Cromwell_6/25/1986_4_day,2,501.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,PICDR-113143,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.80437,34.81486,25.80437,25.80437,,,,601
TC8604_006_7,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1D1,6,"nearshore, leeward",21.315000000,-158.15300000000,NA,NA,dd,6/25/1986,6,25,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,20,30,80,32,R/V Thomson Cromwell_6/25/1986_6_day,32,499.3,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,PICDR-113144,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.91233,34.8215,25.91233,25.91233,,,,467
TC8604_006_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1D1,6,"nearshore, leeward",21.315000000,-158.15300000000,NA,NA,dd,6/25/1986,6,25,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,20,20,80,1,R/V Thomson Cromwell_6/25/1986_6_day,1,509.3,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,PICDR-113146,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.9508,34.81917,25.9508,25.9508,,,,464
TC8604_006_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1D1,6,"nearshore, leeward",21.315000000,-158.15300000000,NA,NA,dd,6/25/1986,6,25,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,10,80,5,R/V Thomson Cromwell_6/25/1986_6_day,5,522.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,PICDR-113145,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.9959,34.822,25.9959,25.9959,,,,398
TC8604_008_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1N1,8,"nearshore, leeward",21.313330000,-158.15300000000,NA,NA,dd,6/25/1986,6,25,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,10,80,1,R/V Thomson Cromwell_6/25/1986_8_night,1,509.5,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,PICDR-113147,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.83016,34.82206,25.83016,25.83016,,,,1266
TC8604_012_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L15D1,12,"offshore, leeward",21.330000000,-158.40700000000,NA,NA,dd,6/26/1986,6,26,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_6/26/1986_12_day,1,521.9,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,6.4,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,PICDR-113148,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.21425,34.74686,26.21425,26.21425,,,,152
TC8604_032_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W2D1,32,"nearshore, windward",21.526670000,-157.79200000000,NA,NA,dd,6/29/1986,6,29,1986,24 June-2 July 1986,R/V Thomson Cromwell,8604,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,10,80,1,R/V Thomson Cromwell_6/29/1986_32_day,1,540,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,3.4,SL,NA,NA,3.4,3.64,NA,NA,NA,NA,NA,1,NA,NA,PICDR-113149,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.53216,34.97545,25.53216,25.53216,,,,623
USNM 322279,3,24/06/2021,Smithsonian Museum Collections,"""Aprion virescens""",museum collection record,English,"museum record, NA","https://collections.nmnh.si.edu/search/fishes/#:~:text=http%3A//n2t.net/ark%3A/65665/35bc3ec3b,%C2%A0",USNM 322279,Pacific Oceanic FIshery Investigations (POFI) expedition,larv,"""larval tank 01""",1,Main Hawaiian Islands,Lanai,leeward of Lanai,TC 32-64,pelagic,20.718300000,-156.96800000000,NA,NA,dd,10/09/1967,10,9,1967,NA,R/V Thomson Cromwell,32,COBB TRAWL,,,,,,,,,#N/A,Anchovy #2; Cobb Pelagic Trawl,night,7,13,13,1,R/V Thomson Cromwell_10/9/1967_TC 32-64_night,1,NA,whole,Larval Tank 01,"Higgins, B.E.",NA,NA,6,NA,5,TL,NA,NA,NA,NA,NA,NA,NA,"https://collections.nmnh.si.edu/search/fishes/#:~:text=http%3A//n2t.net/ark%3A/65665/35bc3ec3b,%C2%A0",NA,0.8423326134,NA,NA,"environmental data from here, only lists summary, not entire water column; max temp is SURFACE_TEMP, min temp is average of TEMP_1, TEMP_2 and SURFACE_TEMP",20.7183,-156.968,dd,10/09/1967,apprently 1967 was hotter than usual; ANCHOVY #2; COBB PELAGIC TRAWL,NA,34.78,27.6,27.7,,,,
USNM 322280,3,24/06/2021,Smithsonian Museum Collections,"""Aprion virescens""",museum collection record,English,"museum record, NA",http://n2t.net/ark:/65665/3bf247b13-c332-4d46-aac7-fe15637002a9,USNM 322280,Pacific Oceanic FIshery Investigations (POFI) expedition,larv,"""larval tank 01""",1,Main Hawaiian Islands,Oahu,inshore off leeward side,TC 32-3,pelagic,21.366700000,-158.20300000000,NA,NA,dd,07/13/1967,7,13,1967,NA,R/V Thomson Cromwell,32,COBB TRAWL,,,,,,,,,#N/A,Anchovy #2; Cobb Pelagic Trawl,night,15,25,25,1,R/V Thomson Cromwell_7/13/1967_TC 32-3_night,1,NA,whole,Larval Tank 01,"Higgins, B.E.",NA,NA,6,NA,5,TL,NA,NA,NA,NA,NA,NA,NA,http://n2t.net/ark:/65665/3bf247b13-c332-4d46-aac7-fe15637002a9,NA,3.779322328,NA,NA,"environmental data from here, only lists summary, not entire water column; max temp is SURFACE_TEMP, min temp is average of TEMP_1, TEMP_2 and SURFACE_TEMP",21.3667,-158.203,dd,07/13/1967,apprently 1967 was hotter tahn usual,NA,34.84,26.4,26.5,,,,
USNM 322281,3,24/06/2021,Smithsonian Museum Collections,"""Aprion virescens""",museum collection record,English,"museum record, NA",http://n2t.net/ark:/65665/348654a2f-3a3d-4a98-9246-7de2248d2df7,USNM 322281,Pacific Oceanic FIshery Investigations (POFI) expedition,larv,"""larval tank 01""",1,Main Hawaiian Islands,Oahu,"offshore, 30 miles southwest Barbers Point, Oahu",TC 32-26-1,pelagic,20.998300000,-158.49700000000,NA,NA,dd,07/23/1967,7,23,1967,NA,R/V Thomson Cromwell,32,COBB TRAWL,,,,,,,,,#N/A,Anchovy #2; Cobb Pelagic Trawl,night,78,122,122,1,R/V Thomson Cromwell_7/23/1967_TC 32-26-1_night,1,NA,whole,Larval Tank 01,"Higgins, B.E.",NA,NA,6,NA,5,TL,NA,NA,NA,NA,NA,NA,NA,http://n2t.net/ark:/65665/348654a2f-3a3d-4a98-9246-7de2248d2df7,NA,26.06429192,NA,NA,"environmental data from here, only lists summary, not entire water column; max temp is SURFACE_TEMP, min temp is average of TEMP_1, TEMP_2 and SURFACE_TEMP",20.9983,-158.497,dd,07/23/1967,apprently 1967 was hotter tahn usual,NA,34.86,23.6,26.8,,,,
1E39F4FE-5105-4581-AF06-C43D957BAED0,,,VertNet,"""Aprion virescens""",museum collection record,English,"museum record, NA",http://portal.vertnet.org/o/lacm/fish?id=1e39f4fe-5105-4581-af06-c43d957baed0,1E39F4FE-5105-4581-AF06-C43D957BAED0,LACM Fish 36086-168,larv,"Previously 36086-96 Lutjanidae, ID changed by Jeff Leis, Sep. 2003 to Aprion virescens.",1,Indonesia,Maluku,Halmahera Sea,,,-0.071666700,128.58000000000,NA,NA,dd,05/18/1975,5,18,1975,NA,R/V Alpha Helix,134,,,,,,,,,,,,night,0,110,110,,R/V Alpha Helix_5/18/1975__night,,,whole,CatalogNumber: 36086-168 AND  OtherCatalogNumbers: 36086.096,,Jeff Leis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
